	IDRegent	IDBron	deel en paginanummer
0	463	191	148.
1	464	10	368.
2	464	19	224.
3	465	10	313.
4	465	19	224.
5	465	81	45.
6	466	15	17 (1927) 152.
7	466	125	9 (1955) 127.
8	467	4	44 (1951) 307.
9	468	134	46 (1928) 264.
10	468	192	archief Raad van Brabant, inv. nr. 6, f. 101.
11	469	135	9 (1892) 170.
12	469	136	6 (1902) 106.
13	470	48	78.
14	470	134	33 (1915) 21.
15	471	48	226.
16	472	46	
17	473	15	52 (1966) 352.
18	474	137	1 (1906) 64.
19	475	10	296.
20	475	19	224.
21	475	135	9 (1892) 99.
22	475	191	150.
23	476	10	364.
24	476	19	225.
25	476	191	151.
26	477	10	298.
27	477	15	20 (1931-1932) 10.
28	477	19	225.
29	477	191	151
30	478	10	323.
31	478	19	225.
32	478	191	152.
33	479	10	314.
34	479	19	225.
35	480	10	303.
36	480	19	225.
37	480	191	153.
38	481	10	347.
39	481	19	225.
40	481	191	152.
41	482	19	239.
42	482	191	127.
43	483	19	239.
44	483	191	127.
45	484	19	239.
46	484	134	88 (1971) 288.
47	484	191	128.
48	485	19	239.
49	485	114	
50	485	191	127.
51	486	19	239.
52	486	114	
53	486	191	128.
54	487	19	239.
55	487	114	
56	487	191	129.
57	488	19	239.
58	488	191	129.
59	489	19	226.
60	489	114	
61	489	191	130.
62	490	19	239.
63	490	114	
64	491	19	226.
65	491	114	
66	492	19	226.
67	492	114	
68	492	191	130.
69	493	19	226.
70	493	114	
71	494	19	226.
72	494	114	
73	495	15	43 (1957) 44.
74	495	19	226.
75	495	114	
76	495	191	130.
77	496	19	226.
78	496	114	
79	496	191	131.
80	497	19	226.
81	497	114	
82	498	19	226.
83	498	114	
84	499	19	227.
85	499	114	
86	500	19	227.
87	500	114	
88	500	191	132.
89	501	19	227.
90	501	114	
91	502	19	227.
92	502	114	
93	502	191	133.
94	503	19	227.
95	503	114	
96	503	125	24 (1970) 233.
97	504	19	227.
98	504	114	
99	505	19	227.
100	505	114	
101	506	19	227.
102	506	114	
103	506	150	Oud archief Enkhuizen, inv. nr. 271, 30 juni-1 september 1764.
104	507	19	227.
105	507	114	
106	507	191	135.
107	508	19	227.
108	508	114	
109	508	135	9 (1892) 99.
110	508	136	22 (1918) 303.
111	508	191	134.
112	509	19	227.
113	509	114	
114	509	191	134.
115	510	19	227.
116	510	114	
117	511	19	227.
118	511	114	
119	511	191	135.
120	513	19	227.
121	513	191	135.
122	514	19	227.
123	514	125	24 (1970) 277.
124	515	19	240.
125	515	129	5.
126	516	19	241.
127	516	129	5.
128	517	19	241.
129	517	129	5.
130	518	19	241.
131	518	129	5.
132	519	19	241.
133	519	129	5.
134	520	19	241.
135	520	129	5.
136	521	19	241.
137	521	129	5.
138	522	19	228.
139	523	19	228.
140	524	19	241.
141	524	129	5v.
142	525	19	228.
143	526	15	43 (1957) 15.
144	526	19	228.
145	527	19	228.
146	528	19	229.
147	529	19	228.
148	530	19	228.
149	531	19	229.
150	532	19	229.
151	532	134	43 (1925) 377, 45 (1927) 254.
152	532	135	9 (1892) 100.
153	23	141	44 (1989) 194.
154	24	6	II, 742.
155	25	9	401.
156	26	5	560.
157	26	33	1, 216.
158	27	6	I, 491.
159	28	6	II, 899.
160	29	6	II, 904.
161	30	6	I, 333.
162	30	15	42 (1956) 155.
163	31	6	II, 779.
164	32	5	562.
165	32	6	II, 682.
166	33	7	LII.
167	33	14	5 (1893) 99.
168	34	4	79 (1988) 294.
169	34	15	58 (1972) 23.
170	34	33	1, 215.
171	35	4	79 (1988) 295.
172	35	33	1, 216.
173	36	4	80 (1989) 418.
174	36	16	4, 286.
175	36	33	1, 217.
176	37	5	561.
177	37	33	1, 216.
178	38	33	1, 214.
179	38	134	46 (1928) 265.
180	39	15	58 (1972) 27.
181	39	33	1, 216.
182	40	15	1 (1910) 391.
183	40	33	1, 215.
184	41	24	
185	41	33	1, 216.
186	42	16	4, 1141.
187	42	33	1, 216.
188	42	136	14 (1910) 367.
189	43	9	414.
190	44	9	384.
191	45	9	388.
192	46	9	383.
193	46	15	2 (1911) 97.
194	47	9	391.
195	47	131	
196	48	9	403.
197	48	16	4, 956.
198	49	9	378.
199	51	15	31 (1945) 75.
200	52	67	19.
201	52	141	44 (1989) 196.
202	53	8	240.
203	53	48	92.
204	54	15	2 (1911) 87, 3 (1912) 63.
205	55	15	32 (1946) 272.
206	55	19	227.
207	55	114	
208	55	191	134.
209	56	15	13 (1923) 337.
